pue,rt_load,time,compute,cooling,cop,kwrt,potential_rt,total,allow_discharge,max_compute,max_cooling,nostromo_cooling,charging_placeholder,total_max,cust_cooling_rt,nostromo_cooling_rt
1.457381,2067.0711333333334,2025-08-19 02:30:00,7.269889175933333,2.525109181177564,2.8790395402004276,1.2215879465674722,2902.50780285187,10.594998357110898,False,10.3979942988001,3.611619136733437,0.0,1.3903865644664615,16.2,2956.495393460364,0.0
1.4449414,2067.7464,2025-08-19 02:45:00,7.272264088799999,2.4357313648403967,2.9856593357439154,1.177964263335386,3009.9967012092375,10.507995453640397,False,10.400369211666767,3.4834413582135557,0.0,1.5161894301196757,16.2,2957.170660127031,0.0
1.4353377333333333,2066.6706,2025-08-19 03:00:00,7.268480500199999,2.3642438257346,3.074336251228907,1.1439867706709526,3099.396459543263,10.4327243259346,False,10.396585623066766,3.3817334128337233,0.0,1.6216809640995091,16.2,2956.0948601270306,0.0
1.4461587999999999,2067.832,2025-08-19 03:15:00,7.272565144,2.444718937568866,2.974806237330559,1.1822618750308855,2999.0551346242587,10.517284081568867,False,10.400670266866769,3.4962513310446077,0.0,1.5030784020886223,16.2,2957.256260127031,0.0
1.4455714666666668,2063.6295999999998,2025-08-19 03:30:00,7.2577853031999995,2.4338620422986024,2.982003571716645,1.1794083794391215,3006.3111375112126,10.491647345498603,False,10.385890426066767,3.4828564675688636,0.0,1.5312531063643675,16.2,2953.053860127031,0.0
1.4563038666666666,2068.3939333333333,2025-08-19 03:45:00,7.274541463533333,2.5194013980372514,2.887408679379391,1.2180471801989354,2910.9451624056064,10.593942861570586,False,10.4026465864001,3.6027621100855063,0.0,1.3945913035143915,16.2,2957.818193460364,0.0
1.4441203999999999,2073.1826666666666,2025-08-19 04:00:00,7.291383438666665,2.438252129334014,2.990414055603938,1.1760913153177759,3014.790178791392,10.52963556800068,False,10.419488561533434,3.4842962773023536,0.0,1.4962151611642107,16.2,2962.6069267936978,0.0
1.4550765333333333,2062.319466666667,2025-08-19 04:15:00,7.253177564266667,2.500750901597585,2.900399859751338,1.2125914253428236,2924.0422393548183,10.553928465864253,False,10.381282687133435,3.579259132919508,0.0,1.4394581799470556,16.2,2951.7437267936984,0.0
1.4499452666666668,2064.1573333333336,2025-08-19 04:30:00,7.259641341333334,2.466441259230586,2.9433668100403096,1.1948901468899267,2967.3594313339904,10.526082600563921,False,10.387746464200102,3.529205544061238,0.0,1.4830479917386583,16.2,2953.5815934603643,0.0
1.4419462666666667,2053.187266666667,2025-08-19 04:45:00,7.221059616866667,2.3913203390516546,3.0196956463517477,1.1646869128182078,3044.310456105651,10.412379955918322,False,10.349164739733435,3.427221134764625,0.0,1.623614125501938,16.2,2942.6115267936975,0.0
1.4372265333333334,2061.6154,2025-08-19 05:00:00,7.2507013618,2.370199020655093,3.0591107745019643,1.1496804984358833,3084.0468735493823,10.420900382455095,False,10.378806484666768,3.392752747358905,0.0,1.6284407679743254,16.2,2951.039660127031,0.0
1.4550888666666668,2036.7081333333333,2025-08-19 05:15:00,7.163102504933333,2.459848200787272,2.9120099779493662,1.2077568506398686,2935.7469965112505,10.422950705720606,False,10.291207627800102,3.5340564440809903,0.0,1.5747359281189066,16.2,2926.1323934603643,0.0
